0,6552ad000960af5a5f6b032b7b9b711e9014e3f08724c44525e104768b9a0c00
1,a891830925a4695180e3a20166c4fba32077671e92e4d85efa50b9f94966dbca
2,944d0a0ed714716c545cc89999d43a90dab12848f467b70bead52cfed4ed3d93
3,3bbf8ef098ab47d6534e5df2d0596d06d0e746ef78cbd454bcae8c62006401c5
4,f10e36fcb6755166ca475e4b3391ebe325e1fa3b69fa4b50844eb193eaba2a61
5,7e5569af06f22148766d6c52df776517e2b2edddbd1b61308f1ac1d945496394
6,6e3dd60c8cb6b6b68064c6bfb6d435b4c6dc625e23d39cdeda2995d9fb625559
7,bcae5ce6bc8ae4b012355765b599a4ee68948c1f06e0d77c8270ec50efb28564
8,a279bd80b5f8764688e1818cc02106da6d59bcc11b8a9132fcf18355099ab4b8
9,397b3e302154270bdf78811a45c3495524e1c6e084801081c87bdf599b24e603
10,526d6789d39aee6907a8d67a370dd0909fdcada524e891c8787292a5bc2e6ebc
11,ed1e5281abca8d50fb485a21650cc3c1a7158aa45f1315d582656cebada5774e
12,41883b79412927847637fa0d15aca11c55a0472f188ad18c4cc2db1d72f999a7
13,f9a6a60102f3233a608d4711e41cf58e4752abc9571194c136817edc1e2c61c4
14,562f18bbe31b0a9aa8054be1a4059d3fe163cf1db6518108a1deca6f542f15b4
15,ab0e0bd6db8d21912f2ed84044799621cd98dfcccd84c585041ffa7b471dd69a
16,36c1cef801b6a6cdd68b9385bf487b3d6d4c79cce71e642def26ecf11b59579b
17,1bfac9b9408a71bd2eb11170fcbe9e06982f61a996431bffee38e7ddf07604ca
18,0cd776201541728af41b6c4b31bab3b1c97dbd6f5f7b5e9b09bd5be4161fd813
19,ec6fa863be285eeff47eec850722a54bea629197ba31e7445b5e2098b46c934b
20,a170deab5269814ac6797a26776528705f9b8a978f32e76c40b227aca4e1d911
21,da55cc9b06a6f97be8c9479e540fb6f7447f42fe27c4d5988dba072a22345c2e
22,752551f7dc1563cf11aafa06d8a3c0f4b2a7b59161885abf32516a6452ceae64
23,d11458bf4ff19932be8ec846ae3c42324eed3d46d0ae18985eff912ea0e99300
24,f89ac7f07a7b17afcf19deea6d4d6297641e8c8693ff38d163fbbd0aa1dfefe4
25,e30e8f4f27a1f0f5a9479cdc35fe07f1af8875470d51531123d3efad1737b760
26,99cb433b6860a0b4cd6051e98c09dce1e879b40a2bc5f0d3a1fc13079469197c
